354269	West Japan Railway Company
4540[0-9][0-9]	Carte d'acc?s Desjardins / VISA Desjardins
4541[0-9][0-9]	Standard Chartered Manhattan Platinum VISA (India)
454117	Lawson CS Card (Japan)
454153	Saison Card International (Japan)
454166	KDDI / KDDI Card Saison VISA (Japan)
454202	Rakuten Bank Debit Card Classic (Japan)
454271	Mizuho bank / UC VISA (Japan)
454287	East Japan Railway Company / view card VISA (Japan)
4543[0-9][0-9]	Visa Debit UK
454305	RBS Visa Credit Card
454312	First Direct (UK)
454313	Nationwide Building Society (UK)
454337	Iceland, Sparsjodur Kopavogs Bank
454361	First Direct (a division of HSBC UK) Visa Debit Card
4544[0-9][0-9]	Banque Laurentienne du Canada / Laurentian Bank of Canada (CA)
454417	Slovensk? sporite??a Visa
454434	First Trust Bank (UK)
454469	Landesbank Berlin AG
454495	Co-operative Bank (UK)
4545[0-9][0-9]	BANESCO (former BancUnion Visa)
454605	Citibank Australia (AU) Visa Card
454617	ING DiBa (Frankfurt, Germany)
454642	Banco Galicia Argentina
454718	UOB (SG) A*STAR VISA Corporate Gold Credit Card
454742	Santander (Previously Abbey (bank)) Visa Debit Card
454749	BHW (DE)
454867	ASB Bank Visa Credit Card (New Zealand)
454869	Westpac New Zealand Visa Credit
454889	Hong Kong Hang Seng Bank (classic card)
4549[0-9][0-9]	Banco Popular de Puerto Rico
455025	Cooperative Bank (UK)
455047	Westpac New Zealand VISA
4551[0-9][0-9]	Visa debit card BBVA Banco Continental Per?. BBVA group.
4551[0-9][0-9]	TD Bank/Driver's Rewards CAD VISA
455121	GM-Visa Card (CAD) issued by TDCanada Trust
4552[0-9][0-9]	Cooperative Bank (UK)
455271	Bank of East Asia Classic Credit Card (Hong Kong)
455272	Bank of East Asia Gold Credit Card (Hong Kong)
4553[0-9][0-9]	Wing Hang Bank Credit Card (Hong Kong)
455451	ICICI Bank Visa Platinum Debit Card (India)
455479	MegaFon virtual card (Russia)
4555[0-9][0-9]	Cooperative Bank Platinum VISA (UK)
4555[0-9][0-9]	Bank of Ceylon VISA Credit Card (UK)
455503	Bancomer Azul Cl?sica Credit Card (M?xico)
4556[0-9][0-9]	Citibank Visa Vodafone (Greece)
4557[0-9][0-9]	Debit Card Bank of credit (PE)
455701	National Australia Bank (AU)
455702	National Australia Bank VISA (AU)
455707	Hang Seng Bank Credit Card
455788	Visa gold debit card BCP-Banco de Cr?dito del Per?.
4559[0-9][0-9]	CHASE (formerly Washington Mutual/Providian) Platinum VISA Credit Card
4560[0-9][0-9]	ANZ Visa Debit Card
456079	Hong Kong HSBC USD Visa Gold Credit Card
4563[0-9][0-9]	BMW VISA ICS International Card Services (The Netherlands)
4563[0-9][0-9]	Citibank Malaysia (MY)
4564[0-9][0-9]	BancoEstado
456351	(CN)Bank of China Debit card (China UnionPay)
456403	Bank of Melbourne 1 (AU; now Westpac)
456406	Challenge Bank (AU; now Westpac)
456413	DEFENCE FORCE CREDIT UNION VISA DEBIT CARD (Australia)
456414	CREDIT UNION AUSTRALIA VISA DEBIT (Australia)
456432	SUNCORP METWAY VISA DEBIT CARD (Australia)
456443	BENDIGO BANK LTD
456445	STATE BANK VICTORIA
456448	BANK OF QUEENSLAND VISA CREDIT CARD (Australia)
456453	ANZ Bank VISA Gift Card (Australia)
456462	ANZ Bank VISA Credit Card (Australia)
456468	ANZ Bank VISA Credit Card Frequent Flyer Platinum (Australia)
456469	ANZ Bank VISA Credit Card Gold (Australia)
456471	Westpac Visa Credit Card (Australia)
456472	Westpac Bank Altitude Visa Credit Card Platinum (Australia)
456473	Banco Estado VISA Tarjeta de Credito (Chile)
456475	Newcastle Permanent Building Society ltd VISA Debit (Australia)
456480	ANZ Bank Visa Business Card (Australia)
456491	ASB Bank (New Zealand)
4565[0-9][0-9]	ABSA VISA
456715	Citibank (UK) Visa Prepaid card)
456716	Landsbanki Visa Electron Card (Iceland)
456726	Santander VISA Debit Card (UK)
456735	Alliance and Leicester VISA Debit Card (UK)
456738	Citibank (UK)
4568[0-9][0-9]	Berliner Bank (DE)
4569[0-9][0-9]	Skandiabanken VISA Debit Card (NO)
4570[0-9][0-9]	DZ Bank VISA Credit Card (DE)
4571[0-9][0-9]	All Danish VISA-cards (Visa/Dankort)
4579[0-9][0-9]	KB Card VISA Gold Card
4580[0-9][0-9]	Leumi Card (IL)
4580[0-9][0-9]	Israeli Credit Cards (ICC) (IL)
458109	Swedbank Visa Debit Card Sweden
458123	Bank of Communications/HSBC (CN) Y-Power Visa Card
458124	Bank of Communications VISA/China Unionpay (CN)
458440	HSBC Vietnam
4585[0-9][0-9]	HSBC Bank Australia VISA Debit Card
4587[0-9][0-9]	Peoples Trust Visa Gift Card
459501	Caxton fx Dollar Traveller Prepaid Visa (issued by R. Raphael & Son plc.)
4599[0-9][0-9]	Caja Madrid, now Bankia (ES)
460005	MetaBank Debit Card (US)
4608[0-9][0-9]	Suncoast Schools Federal Credit Union
4614[0-9][0-9]	GSA SmartPay 2
461726	Citi Bank (Hong Kong)
461786	HDFC Bank Credit Card (India)
461983	Best Buy Reward Zone/Chase (Canada)
462239	ANZ Visa Debit Card (Australia)
462263	ING Direct Visa Debit Card (Australia)
462288	Bangkok Bank Visa Debit Card (Thailand)
462890	Citibank Korea PremierMiles VISA Signature Card (Korea)
4640[0-9][0-9]	Amazon (US)
464006	Public Bank (Hong Kong) VISA Gold Card
464007	Public Bank (Hong Kong) VISA Classic Card
4645[0-9][0-9]	Citibank VISA Credit Card (Australia)
464944	HSBC Philippines Debit Card (Philippines)
465345	FirstBank Debit (Lakewood CO, USA)
465844	ALLIED IRISH BANK(GB)
465858	Barclays Visa Debit (UK)
465859	Barclays Visa Debit (UK)
465861	Barclays Visa Debit (UK)
465901	Barclays Visa Debit (UK)
465904	Santander Visa Debit (UK)
465921	Barclays Visa Debit (UK)
465935	Nationwide Building Society Cash Card+ (UK)
465942	HSBC Visa Debit Card (UK)
465943	HSBC Visa Debit Card (UK)
465944	HSBC Visa Debit Card (UK)
465946	First Direct Debit Card (UK)
465995	Teller A.S. CREDIT PLATINUM Norway Oslo
466131	The River Bank Debt [Closed by FCIC now Central Bank] (USA)
4677[0-9][0-9]	Peoples Trust nextwave Titanium+ Prepaid Visa Card (Canada)
467932	HSBC Advance Platinum VISA Credit Card (Hong Kong)
467937	Lakshmi Vilas Bank (India)
468524	CitiBusiness Gold CitiBank (Australia)
468563	JPMorgan Chase
468805	Axis Bank Debit Card (India)
469375	ICICI Limited (India)
469443	First Bankcard Signature (US)
469568	Dena Bank Debit Card (India)
470132	Bank of America HSA Debit Card
4705[0-9][0-9]	Citibank Hong Kong
470758	US Bank, Visa Debit, USA
4715[0-9][0-9]	Wachovia VISA
4718[0-9][0-9]	Target Corporation VISA Gift Card
4720[0-9][0-9]	HSBC VISA (Platinum/Signature), Sri Lanka
472409	TD Access Card, VISA Debit, Canada
472437	Virgin Money Credit Card (Australia)
472776	MetaBank
472926	Peoples Trust Vanilla Prepaid Visa Card, Canada
473099	Wells Fargo Bank, Visa Debit, Iowa USA
473104	Swiss International Airlines Miles & More Visa Gold (CH)
473354	Air Academy Federal Credit Union, Colorado USA
4736[0-9][0-9]	[GE Money Bank] Walmart Prepaid Visa Debit Card, USA
473702	Wells Fargo, Visa card, USA
473909	PSCU FINANCIAL SERVICES INC
4741[0-9][0-9]	Visa Electron
4744[0-9][0-9]	Bank of America Visa Debit
474480	Bank of America Visa Debit, Midwest USA
475034	Prepaid card, Metabank DEBIT CLASSIC USA
475050	JPMorgan Chase Visa Credit Card
475055	JPMorgan Chase Visa Debit Card
475110	Ulster Bank, Visa Debit, UK (immediate authorisation)
475114	VISA Debit Platinum, Coutts & Co, UK
475116	RBS Royal Bank of Scotland, Visa Debit, UK (immediate authorisation)
475117	RBS Royal Bank of Scotland, Visa Debit, UK
475118	RBS Royal Bank of Scotland, Visa Debit, UK
475126	RBS Royal Bank of Scotland, Visa Debit, UK
475127	Natwest Visa Debit
475128	Natwest Visa Debit
475129	Natwest Visa Debit
475130	Natwest Visa Debit
475131	Nat West Visa Debit Card
475132	Nat West Private Banking Visa Debit
475423	MetaBank VISA TravelMoney, Debit
475427	MetaBank Rebate Visa Card
475637	WellsFargo Bank National Association, Visa Debit
475714	Santander UK Visa Debit card
475743	O2 Money Card (Ireland), prepaid
475747	NatWest, VISA Debit, (UK)
475757	O2 Money Card (UK) Prepaid
4758[0-9][0-9]	Oregon Community Credit Union
4760[0-9][0-9]	Bank Niaga (Indonesia) Visa Debit Card
476072	may be HR Block prepaid Visa
476153	US Bank VISA Signature business card
476[1-4][0-9][0-9]	TCF Bank Saint Paul MN (USA) Visa Debit Card
476225	Bank Of Scotland Visa Debit Card
476515	Venezolano de Credito Superefectiva Gold Visa Check card.
476559	South Florida Educational Federal Credit Union Visa Debit Card
4773[0-9][0-9]	Siam Commercial Bank
477361	Big Sky Credit Union Visa (Australia)
477462	Pioneer Trust Bank
477517	JPMorgan Chase Bank N.A.
477548	SEB
477596	Sainsbury's Bank (UK)
477597	Capital One (Europe) Plc
4779[0-9][0-9]	Sainsbury's Bank (UK)
477913	Deutsche Bank Visa credit card (Germany)
477915	BZWBK (PL)
478200	BANK ONE
478657	Nationwide Bank (USA) Visa Buxx
478825	JPMorganChase Corporate Card
478880	Umpqua Bank of Oregon Visa Debit Card
478901	Vancity Visa credit card (Canada)
478907	Vancity Visa credit card (Canada)
478986	CIBC US Dollar Visa (Canada)
478992	Heartland Credit Union (Springfield, IL)
479000	Bulgarian Postbank VISA Credit card
479056	First National Bank (South Africa) Visa Electron Debit Card
479080	Visa Credit card BZWBK Polish bank
479087	Alfa bank (Russia), Visa Platinum
479110	Citibank Hong Kong Classic Visa Credit Card
479111	Citibank Hong Kong Cold Visa Credit Card
479144	Georgia Federal Credit Union
479213	TD Banknorth Visa Debit Card
479293	Abbey International Visa Debit Card
479348	Vision Banco Visa Debit Card (Paraguay)
4797[0-9][0-9]	SEB bankas Visa Debit Card (Lithuania)
479731	Swedbank Visa Electron (Estonia)
479769	Saint-Petersburg Bank, Russia
4798[0-9][0-9]	US Bank Visa Select Rewards Business Platinum
479884	E*Trade Visa Debit Card (U.S.)
4800[0-9][0-9]	Standard Charterd Bank Vietnam Gold Visa Debit Card
480119	Citigroup Inc.
480147	Community Business Bank
480212	Capital ONE FSB Business
480686	Commonwealth Credit Union Visa Debit Card
4807[0-9][0-9]	M&I Visa Credit Card
480817	WellsOne Commercial Card
4809[0-9][0-9]	Capital One
4815[0-9][0-9]	Bank of America
4820[0-9][0-9]	Wings Financial FCU Credit Card (also Metro Community FCU)
4824[0-9][0-9]	Wirecard Bank Visa Card
4828[0-9][0-9]	Bank One (US)
482840	Bank One (US)
483312	Bank One (US)
4835[0-9][0-9]	Bank of China (Hong Kong) Visa Platinum Credit Card
483512	Standard Charterd Bank Vietnam
483531	ANZ Bank New Zealand Limited
483583	Sony Finance International, Japan
483515	Bank One Revolution VISA Platinum Credit Card (Singapore)
483564	Canada Post Visa Electron Debit Card
483593	HSBC Hong Kong business Platinum Credit Card (HK)
483741	KiwiBank (NZ) Visa Debit Card
4841[0-9][0-9]	Old National Bank Commercial Debit Card
4842[0-9][0-9]	Maybank-issued Visa Credit Card (Malaysia)
4843[0-9][0-9]	Digital FCU Visa Gold Credit Card
484412	Paypal (UK)
484474	Bank Of Scotland (UK)
484712	Bank One
484823	Public Bank Day2Day Visa Debit card (Malaysia)
485450	HVB VISA Infinite
485051	Orange County's Credit Union
485342	MBNA
4854[0-9][0-9]	Washington Mutual (US)
485414	Chukur Bukur Bank
485415	Chukur Bukur Bank
485751	Bankia (Spain) Visa Debit Card
485431	Nonghyup Bank (KR) Visa Check Card
4861[0-9][0-9]	Wings Financial FCU Check Card
4862[0-9][0-9]	Capital One Visa Credit Card
486213	Capital One
486239	HSBC Platinum Visa Credit Card (India)
486290	Australia Post Visa Debit (Australia)
486311	Bank of China (HK) Visa Infinite
486412	Lloyds TSB (UK)
486424	VISA Credit Card, Barclays Bank, (UK)
486442	HSBC (UK)
4867[0-9][0-9]	JP Morgan Chase Bank (US)
4868[0-9][0-9]	Wells Fargo (US)
486912	Plumas Bank California, (US)
486913	Umpqua Bank of Oregon (US)
487211	Hollywood Movie Money Certificate (US), issued by MetaBank
487242	VISA Credit Card (PE), issued by ScotiaBank
4873[0-9][0-9]	Capital One Orbitz Visa Platinum Credit Card
487392	Capital One Visa Gold Credit Card
487312	Staples (US) Rebate Card, issued by Chase
4888[0-9][0-9]	Bank of America UK
488839	Mayo Employees Federal Credit Union
488939	Lakshmi Vilas Bank (India)
4890[0-9][0-9]	QIWI Bank Visa Card
4892[0-9][0-9]	[Columbus Bank and Trust Company] Green dot NASCAR Debit Visa Debit card
489382	ZoomPass pre-paid visa card
489394	Nationwide Building Society (UK) Visa Credit Card
489396	Nationwide Building Society (UK) Visa Select Credit Card
490077	RBC Bank (Georgia) N.A. VISA Debit Card (United States)
490080	RBC Bank (Georgia) N.A. VISA Platinum Credit Card (United States)
4900803	RBC Bank (Georgia) N.A. VISA Signature Black Credit Card (United States)
490115	First National Bank VISA South Africa / Cedyna INC Visa Japan
490220	BC VISA Credit Card issued by Woori Bank
490285	Public Bank (Hong Kong) VISA Platinum Card
490292	NAB VISA Gold Debit Card (Australia)
4903[0-9][0-9]	Switch (Debit Card)
4904[0-9][0-9]	Banner Bank VISA (Credit)
4905[0-9][0-9]	Switch (Debit Card)
4906[0-9][0-9]	Barclaycard VISA Credit Card (Germany)
4906[0-9][0-9]	BC VISA Credit Card (Korea)
490603	BC VISA Credit Card issued by Industrial Bank of Korea
490606	BC VISA Credit Card issued by Kookmin Bank
490611	BC VISA Credit Card issued by Nonghyup Bank
490612	BC VISA Credit Card issued by NACF Local Cooperatives
490620	BC VISA Credit Card issued by Woori Bank
490623	BC VISA Credit Card issued by SC First Bank
490625	BC VISA Credit Card issued by Hana SK Card
490627	BC VISA Credit Card issued by Citibank in Korea
490646	The Bank Of Tokyo-Mitsubishi UFJ (Japan)
490678	BC VISA Credit Card issued by Shinhan Card
490696	Citibank (Argentina)
490698	Citibank Gold Credit Card (Argentina)
4907[0-9][0-9]	Citibank Credit Card (Japan)
490762	credit cards issued by Bayerische Landesbank (Germany) under various brands (e.g. "Bayerische Landesbank", "DKB")
490841	Banco Espirito Santo Gold Visa Credit Card (Portugal)
490847	Parex Bank Visa Credit Card
4909[0-9][0-9]	Northern Rock
4910[0-9][0-9]	HSBC Bank VISA Credit Card (Sri Lanka).
491002	Citibank (UK) AAdvantage Gold Visa Card
4911[0-9][0-9]	Switch (Debit Card)
4912[0-9][0-9]	HSBC UAE
4913[0-9][0-9]	Visa Electron
4914[0-9][0-9]	Banrisul Visa
491511	Banco de Bogot? (Colombia) Visa Electron
4915[0-9][0-9]	Republic Bank Limited VISA Credit Card (Trinidad & Tobago)
491566	Visa Electron
491611	Halifax Ireland VISA Credit Card
4917[0-9][0-9]	Visa Electron
491731	Abbey (bank) VISA Electron (UK)
491754	Halifax (United Kingdom bank) VISA Electron (UK)
4918[0-9][0-9]	Caja Madrid VISA Business Credit Card (Spain)
491859	Danske Bank Privatkort Visa Electron debit card (SE)
4919[0-9][0-9]	Charles Schwab Bank VISA Check Card
4920[0-9][0-9]	Luottokunta issued VISA (Finland); Citibank UAE issued Visa Credit Card
492046	Luottokunta issued VISA Gold (Finland)
4921[0-9][0-9]	Lloyds TSB Visa Debit Card
492111	HSBC Visa Credit Card (Hong Kong)
492127	HSBC Visa Credit Card (Bermuda)
492160	HSBC Visa Credit Card (Singapore)
492181	Barclaycard Visa Debit Card
492182	Barclaycard Visa Debit Card
492183	Barclaycard Visa Debit Card
492184	Barclaycard Visa Debit Card
492213	Nedbank VISA Credit Card (ZA)
492231	NTT FINANCE CORPORATION (Japan)
4925[0-9][0-9]	Visa Debit Card (Norway)
492827	Barclays self-service card (UK)
4929[0-9][0-9]	Visa Debit Card UK
492910	Barclaycard Visa Credit Card
492913	(Barclaycard) Visa Credit Card (UK)
492940	Barclaycard Visa Credit Card
492942	Barclaycard Premier and OnePulse (Oyster) Visa Credit Cards with contactless payment (UK)
492946	Barclaycard Business Visa Credit Card
492949	Barclaycard Visa Initial Credit Card
4931[0-9][0-9]	Visa Citi AA
493414	Qantas Staff Credit Union Debit Card (Australia)
493467	Bank of China Olympics Visa Credit Card (Singapore)
493468	Bank of China Platinum Visa Credit Card (Singapore)
4935[0-9][0-9]	Credito Siciliano Visa Electron (Italy)
4936[0-9][0-9]	Switch (Debit Card)
4937[0-9][0-9]	Standard Chartered Bank UAE issued Visa credit card
493795	Orient Corporation (Japan)
493838	CrediMax Visa credit card (Bahrain)
493861	Bank Of China Credit Card VISA Classic (Hong Kong)
493878	Bank Of China Great Wall Credit Card VISA Classic (Hong Kong)
493898	Bank Of China Great Wall Credit Card VISA Gold (Hong Kong)
493881	Bank Of China Credit Card (Hong Kong)
494052	Commonwealth Bank VISA Credit Card (Australia)
494053	Commonwealth Bank VISA Credit Card (Gold)(Australia)
494114	National Bank of Abu Dhabi Cashplus Global Visa Electron (UAE)
494120	HSBC Visa Gold Debit Card (United Kingdom)
495055	Corner Visa Debit Card
4960[0-9][0-9]	Emporiki Bank Visa Credit Card (Greece)
496604	HSBC Visa Credit Card (Hong Kong)
496645	HSBC Visa Gold Credit Card (Singapore)
496657	Standard Chartered Bank (Hong Kong)
496696	HSBC Visa Gold Credit Card (Bermuda)
496698	Bank Islam Malaysia Berhad VISA Premier Credit Card-i (International)
497040	La Banque Postale VISA (France)
497063	La Banque Postale VISA (France)
497128	Natixis / Banque Populaire (France)
497160	HSBC Visa Credit Card (France)
497164	Banque Accord Visa Credit Card (France)
497203	CREDIT LYONNAIS Visa Credit Card (France)
497301	Soci?t? G?n?rale CB Visa (France)
497302	Soci?t? G?n?rale CB Visa (France)
4974[0-9][0-9]	BNP Paribas (France)
497543	Natexis Banques Populaires Visa Credit Card (France)
497545	Natexis Banques Populaires Visa Credit Card (France)
497618	Boursorama Visa Credit Card (France)
497652	Barclays Bank PLC Visa Credit Card (France)
497671	Credit du Nord Visa Credit Card (France)
497766	Sachki Sabiram Bank
4978[0-9][0-9]	Caisse d'Epargne VISA Credit Card (France)
497912	Boursorama Banque VISA PREMIER/gold credit card (France)
498041	Sumitomo Mitsui Card Company (Japan)
498021	Sumitomo Mitsui Card Company (Japan)
498042	Sumitomo Mitsui Card Company (Japan)
498022	Pocket visa debit card (Japan)
498417	Banco do Brasil Ourocard Visa Brasil
498474	Macquarie Visa Platinum Credit Card
498542	Banco Caja Social (Colombia) VISA Platinum Credit Card
498599	ZUNO bank (Raiffeisen group) Cech republic Diamond Card
498864	The Co-operative Bank (incl Smile) Visa Debit Virtual GOLD Card (UK in ?)
498857	Citibank Colombia (Visa Debit Card)
499811	DKB Deutsche Kreditbank AG Visa Debit Charge Card (Germany)
499897	DKB Deutsche Kreditbank AG VISA credit card (Germany)
499977	Bank of New Zealand VISA Credit Card
499985	Bank of New Zealand VISA Gold Credit Card
499904	Bank of New Zealand VISA Platinum Credit Card
500235	National Bank of Canada
500766	Bank of Montreal
501007	Westpac Banking Corporation
501008	Westpac Banking Corporation
501012	Meridian Credit Union
502029?	ASPIDER
502123	Kookmin Card
503615	Standard Bank of South Africa
504507	Barnes & Noble
504834	ING Vysya Bank
504837	Fleet Bank
5049[0-9][0-9]	CitiBank
5077[0-9][0-9]	CitiBank
507704	CitiBank
507708	CitiBank
507709	CitiBank
507711	CitiBank
507717	CitiBank
507719	CitiBank
507720	CitiBank
510000	Amro Bank
510001	Agricultural Bank of Greece
510002	Estonia Credit Bank
510003	Samsung Card Co
510005	HSBC
510008	VSB International
510009	Europay
510010	Powszchny Bank Kredytowy Warszawie
510011	Europay
510013	SEMP
510014	SEMP
510015	Agricultural Bank of Greece
510016	Agricultural Bank of Greece
510017	Fimestic Bank
510018	PKO Savings Bank
510019	Budapest Bank Ltd
51002[1-3]	Europay
51002[4-5]	SEMP
510029	VSB International
510030	SEB Kort
510034	Fimestic Bank
510035	Belarus Bank
510036	Sabadell Bank of Andorra
510037	General Bank of Greece
51003[8-9]	Bank of Trade Unions Solidarity and Social Investment (Solidarnost)
510040	5-Star Bank
51006[0-2]	SEMP
510087	Santander Bank
510136	CitiBank
510142	CitiBank
510197	UBS AG
510241	RBS
510259	Alior Sync
510782	FirstMerit Corporation
5108[0-9][0-9]	INGDirect
510840	The Bancorp Bank
510875	Lake Michigan Credit Union
510982	USAA
511[0-1][0-9][0-9]	Chase Manhattan Bank USA
5112[0-9][0-9]	Chase Manhattan Bank USA
511[3-4][0-9][0-9]	Chase Manhattan Bank USA
5115[0-9][0-9]	Chase Manhattan Bank USA
5116[0-9][0-9]	Chase Manhattan Bank USA
5117[0-9][0-9]	Chase Manhattan Bank USA
5118[0-9][0-9]	Chase Manhattan Bank USA
511810	PayPal
5118[0-9][0-9]	Chase Manhattan Bank USA
5119[0-9][0-9]	Chase Manhattan Bank USA
512000	Western States BankCard Association
512005	Western States BankCard Association
512010	Western States BankCard Association
512012	Chase Manhattan Bank USA
512015	Western States BankCard Association
512022	Western States BankCard Association
512023	International Card
512024	Western States BankCard Association
512105	Western States BankCard Association
51210[6-8]	Sears National Bank
512109	Corp Banca
512110	Western States BankCard Association
512111	Western States BankCard Association
512127	BankWest Business Debit MasterCard
512136	Western States BankCard Association
5122[0-9][0-9]	Western States BankCard Association
5123[0-9][0-9]	Western States BankCard Association
512462	Lotte Card
5125[0-9][0-9]	Western States BankCard Association
51255[1-5]	Europay 6000
512568	Citi
512569	Lloyds TSB
512607	Continental Finance
512622	SBI
512687	Sainsbury
5130[0-9][0-9]	Europay France
513100	Europay France
513101	Europay France Cr?dit Agricole
5131[0-9][0-9]	Europay France
513141	Europay France Cr?dit Agricole
513142	Europay France
513143	Europay France Advanzia Bank
5131[0-9][0-9]	Europay France Advanzia Bank
5132[0-9][0-9]	Europay France
5133[0-9][0-9]	Europay France
5134[0-9][0-9]	Europay France
513453	BNP Paribas
5135[0-9][0-9]	Europay France
513536	Europay France BRED Banque Populaire
5135[0-9][0-9]	Europay France
5136[0-9][0-9]	Europay France
513624	Europay France
5136[0-9][0-9]	Europay France
513691	Russian Standard Bank, Russia
5137[0-9][0-9]	Europay France
5138[0-9][0-9]	Europay France
513900	Europay France
514011	Integra Bank
514012	CitiBank South Dakota
514013	Elgin First Credit Union
514015	Infibank
514016	Miramar First Credit Union
514017	Franklin Templeton Bank and Trust
514019	Wells Fargo
514020	Wells Fargo
514021	Juniper Bank
514022	Navy Federal Credit Union
514045	Aussie
514102	Park National Bank
514108	Paradigm Bank Texas
514250	Commonwealth Securities
514253	EDS Employees First Credit Union
514700	Mascoma Savings Bank
514876	CitiBank
514889	Juniper Bank
514923	Chase Manhattan Bank USA
515462	Bankcorp Bank "Vanilla" Sams Club Gift PrePaid
515854	Citibank Citigold Debit Card
517644	Miramar First Credit Union
516010	Polbank EFG
516029	CitiFinancial
516300	Westpac Banking Corporation
516310	Westpac Banking Corporation
516315	Westpac Banking Corporation
516331	Svyaznoy Bank
516335	Westpac Banking Corporation
516321	Westpac Banking Corporation
516337	Westpac Banking Corporation
516361	Westpac Banking Corporation
516366	Westpac Banking Corporation
516693	FISERV SOLUTIONS
517651	5-Star Bank
517652	HDFC Bank
517669	HSBC
517805	Jpmorgan Chase Bank
517869	Union Bank[disambiguation needed]
518126	Utility Warehouse
518127	President's Choice Financial
518142	MBNA
518145	Royal Bank of Scotland
518152	Royal Bank of Scotland
518175	MBNA
518346	Unicredit Bank AG
518390	Citibank
518542	HSBC
518676	AvantCard
518652	ROYAL BANK OF SCOTLAND PLC.
518791	Lloyds TSB
518868	Bendigo Bank
518996	UniCredit Bank,
519000	Bank of Montreal
519113	Bank of Montreal
51912[0-3]	Bank of Montreal
519129	Bank of Montreal
519133	Bank of Montreal
51914[0-3]	Bank of Montreal
519154	Bank of Montreal
519161	Bank of Montreal
519162	Bank of Montreal
519163	Kiwibank
519173	Bank of Montreal
51918[0-3]	Bank of Montreal
51920[0-2]	Bank of Montreal
51922[0-3]	Bank of Montreal
51924[0-2]	Bank of Montreal
519244	Bendigo Bank
519259	Bank of Montreal
519269	Bank of Montreal
519281	Bank of Montreal
519283	Bank of Montreal
519290	Bank of Montreal
519293	Bank of Montreal
519294	Bank of Montreal
519322	Bank of Montreal
519323	Bank of Montreal
519332	Bank of Montreal
519342	Bank of Montreal
519371	Bank of Montreal
519373	Bank of Montreal
519381	Bank of Montreal
519383	Bank of Montreal
519390	Bank of Montreal
519391	Bank of Montreal
51939[3-5]	Bank of Montreal
519398	HSBC Canada
519400	Bank of Montreal
519403	Bank of Montreal
519409	Bank of Montreal
519430	Bank of Montreal
519431	Bank of Montreal
519433	Bank of Montreal
519434	Bank of Montreal
519443	Bank of Montreal
519463	Banco De Oro
519490	Bank of Montreal
519491	Bank of Montreal
519493	Bank of Montreal
519494	Bank of Montreal
519520	Altair
519525	Contis Group & EZPay
51954[0-4]	Bank of Montreal
5122[0-9][0-9]	First Gulf Bank
5130[0-9][0-9]	Banque Postale (France)
5131[0-9][0-9]	Cr?dit Agricole
513264	Cr?dit Mutuel MasterCard Credit Card (France)
5134[0-9][0-9]	HSBC -Credit Card
5135[0-9][0-9]	BRED Banque Populaire MasterCard Credit Card
5141[0-9][0-9]	Banco Popular North America Mastercard Debit Card
5148[0-9][0-9]	US Airways Dividend Miles Platinum MasterCard
5149[0-9][0-9]	MetaBank MasterCard FSA debit card (issued on behalf of third-party administrators)
5151[0-9][0-9]	OboPay Prepaid Debit Card Issued By First Premier
5155[0-9][0-9]	Orchard Bank issued by HSBC
5156[0-9][0-9]	BestBuy MasterCard issued by HSBC
51639[0-9][0-9]	Westpac Australia Classic MasterCard
5176[0-9][0-9]	China Minsheng Bank MasterCard Credit Card
5177[0-9][0-9]	BANAMEX Debit Card
5179[0-9][0-9]	Bank Atlantic Mastercard Debit Card
5182[0-9][0-9]	Banco Nacional de Costa Rica Servibanca Debit Card
5185[0-9][0-9]	HONGKONG AND SHANGHAI BANKING CORPORATION, LTD., THE MasterCard (HK)
5187[0-9][0-9]	China Merchants Bank MasterCard Credit Card
5200[0-9][0-9]	MBNA Quantum MasterCard Credit Card
520108	China CITIC Bank Master Card (China)
520169	BestBuy MasterCard by Bank of Communications/HSBC (China)
520301	credit/debit cards issued by Valovis Commercial Bank under various brands (Germany)
520306	Citibank/Lufthansa Miles & More MasterCard Credit Card (Russia)
520641	Tesco Bank Bonus Mastercard(UK)
5206[0-9][0-9]	Caixa Geral de Depotios (CGD) (Portugal) (Caixa Pro Master Card)
520988	Garanti Bank Shop&Miles MasterCard Credit Card
520991	Nordea Gold (Sweden)
521324	Tinkoff Credit Systems (Russia), MasterCard Platinum Credit Card
521326	SMP Bank (Russia), MasterCard Platinum Transaero Card
521402	Mastercard
521679	US Bank National Association, Giftcard
5217[0-9][0-9]	Commonwealth Bank of Australia Debit MasterCard
5211[0-9][0-9]	Privatbank (UA)
521584	Finansbank Prepaid Card
521804	Tesco Bank Business Mastercard (UK)
521853	PayPal MasterCard
521893	Go Mastercard, GE Capital Finance T/A GE Money (AUS)
521899	Bank of Communications, HSBC Co-Branded Credit Card (China)
5221[0-9][0-9]	MasterCard Credit Cards in South Africa
522182	People's Trust (US)
522222	United Overseas Bank MasterCard Platinum Malaysia
522223	Avangard Bank, Russia
522276	Chase Manhattan Bank MasterCard Credit Card
5228[0-9][0-9]	Presidents Choice MasterCard Credit Card
5232[0-9][0-9]	Sparkasse Germany MasterCard Credit Card
5234[0-9][0-9]	Lufthansa Miles & More MasterCard Credit Card
5236[0-9][0-9]	AirBank MasterCard Debit Card
523748	Commonwealth Bank of Australia Prepaid Travel Money Mastercard
523911	Affinity Bank
523912	Affinity Bank
